Time (UTC),Range (km),Azimuth (deg),Elevation (deg),d Range/dt (km/s),d Azimuth/dt (deg/s),d Elevation/dt (deg/s),One Way Light Time (s)
2025-03-09T19:30:00,546428.2741146524,140.67708515587123,27.91988843962606,0.5095746651046928,0.00395915259346797,0.001965600800989226,1.8226885284574181
2025-03-09T19:31:00,546458.8848307807,140.9149576787659,28.037524274751437,0.5107831648146268,0.003969933808655107,0.0019555833648357292,1.822790634815705
2025-03-09T19:32:00,546489.5681659027,141.15347748008773,28.154557200748517,0.5119952459473831,0.003980728382889096,0.0019455037973354818,1.8228929834048824
2025-03-09T19:33:00,546520.3243312152,141.39264533346704,28.27098348507051,0.5132108864090439,0.003991535395653087,0.0019353619643343893,1.8229955749294238
2025-03-09T19:34:00,546551.1535426507,141.63246195760613,28.38679938849114,0.5144300640221404,0.004002353912098863,0.001925157736365632,1.8230984101096057
2025-03-09T19:35:00,546582.0560102277,141.87292801413548,28.502001163241133,0.5156527565478974,0.004013182982873159,0.001914890988818123,1.8232014896459723
2025-03-09T19:36:00,546613.031942587,142.11404410729176,28.616585054226352,0.5168789416772528,0.00402402164415111,0.0019045616020260548,1.8233048142344763
2025-03-09T19:37:00,546644.0815517498,142.35581078358905,28.73054730023302,0.5181085970223167,0.0040348689176758585,0.001894169461358925,1.8234083845823428
2025-03-09T19:38:00,546675.205043682,142.5982285298677,28.843884132413727,0.5193417001349632,0.004045723810621636,0.0018837144573839854,1.8235122013766005
2025-03-09T19:39:00,546706.4026245283,142.84129777314922,28.956591775818257,0.5205782284951068,0.004056585315665467,0.0018731964859494785,1.823616265304874
2025-03-09T19:40:00,546737.6744991782,143.0850188795675,29.068666449405484,0.5218181595142521,0.004067452410963069,0.0018626154483092437,1.8237205770506015
2025-03-09T19:41:00,546769.02087107,143.3293921535225,29.180104366377808,0.523061470535815,0.004078324060152668,0.0018519712512380052,1.8238251372923802
2025-03-09T19:42:00,546800.4419422778,143.5744178367988,29.29090173451386,0.5243081388355746,0.0040891992123641965,0.001841263807148738,1.8239299467042558
2025-03-09T19:43:00,546831.9379151734,143.82009610786693,29.401054756803394,0.5255581416192641,0.00410007680225562,0.001830493034202263,1.8240350059612687
2025-03-09T19:44:00,546863.5089860001,144.06642708028744,29.510559630606622,0.526811456034812,0.0041109557499535805,0.00181965885645785,1.8241403157180163
2025-03-09T19:45:00,546895.1553557902,144.31341080316517,29.619412550105736,0.5280680591517593,0.0041218349612290005,0.0018087612039315467,1.8242458766450695
2025-03-09T19:46:00,546926.8772182098,144.5610472587166,29.72760970426276,0.5293279279861594,0.00413271332736564,0.0017978000127855812,1.8243516893884288
2025-03-09T19:47:00,546958.674771457,144.80933636302532,29.835147279601536,0.5305910394761719,0.004143589725374857,0.0017867752253734447,1.8244577546092138
2025-03-09T19:48:00,546990.5482079326,145.0582779637434,29.94202145847162,0.5318573705044667,0.004154463017897308,0.0017756867904242272,1.8245640729492023
2025-03-09T19:49:00,547022.4977200693,145.3078718400712,30.048228420644328,0.5331268978859045,0.004165332053348635,0.001764534663123463,1.824670645050281
2025-03-09T19:50:00,547054.5234989511,145.55811770167676,30.153764343396105,0.5343995983714125,0.004176195665964426,0.0017533188052425333,1.8247774715498388
2025-03-09T19:51:00,547086.625734261,145.80901518786388,30.258625401910578,0.5356754486483197,0.0041870526758758,0.0017420391852569807,1.8248845530805884
2025-03-09T19:52:00,547118.8046157929,146.0605638669311,30.362807769982332,0.5369544253377034,0.004197901889214299,0.0017306957784560704,1.8249918902756153
2025-03-09T19:53:00,547151.060327422,146.312763234496,30.466307619239018,0.5382365050071689,0.004208742098115991,0.0017192885671005512,1.8250994837482604
2025-03-09T19:54:00,547183.393057589,146.5656127141358,30.569121121642368,0.5395216641497678,0.0042195720809739545,0.001707817540472994,1.825207334127095
2025-03-09T19:55:00,547215.802988875,146.819111655079,30.671244447835907,0.5408098792060114,0.004230390602393624,0.0016962826950651312,1.825315442021143
2025-03-09T19:56:00,547248.290303895,147.07325933223913,30.772673768769312,0.5421011265519358,0.004241196413397349,0.0016846840346563879,1.8254238080395435
2025-03-09T19:57:00,547280.855183838,147.3280549451884,30.8734052558406,0.543395382502764,0.004251988251528143,0.0016730215704416282,1.8255324327866775
2025-03-09T19:58:00,547313.4978085477,147.5834976173371,30.973435081341904,0.5446926233133071,0.004262764840983926,0.0016612953211492879,1.82564131686244
2025-03-09T19:59:00,547346.2183579591,147.8395863953699,31.072759419211522,0.5459928251755528,0.004273524892783978,0.0016495053131472457,1.8257504608670283
2025-03-09T20:00:00,547379.0170073458,148.09632024783457,31.171374444622515,0.5472959642276587,0.004284267104856055,0.0016376515805885782,1.825859865385092
2025-03-09T20:01:00,547411.8939323863,148.35369806493676,31.26927633531567,0.5486020165462158,0.004294990162262842,0.0016257341655001793,1.8259695310026323
2025-03-09T20:02:00,547444.8493070195,148.6117186576486,31.366461271803452,0.5499109581488444,0.004305692737354344,0.001613753117903421,1.8260794582998467
2025-03-09T20:03:00,547477.8833039416,148.87038075687605,31.46292543783392,0.5512227649953916,0.004316373489946735,0.0016017084959317992,1.8261896478527875
2025-03-09T20:04:00,547510.9960957961,149.12968301298284,31.558665021183916,0.5525374129849103,0.004327031067537339,0.0015896003659311554,1.8263001002373316
2025-03-09T20:05:00,547544.187849402,149.38962399412773,31.65367621298942,0.5538548779684636,0.004337664105414336,0.001577428802616398,1.826410816009927
2025-03-09T20:06:00,547577.458735951,149.65020218715298,31.74795521028097,0.5551751357283123,0.004348271227025782,0.0015651938891053715,1.8265217957416093
2025-03-09T20:07:00,547610.808922361,149.91141599547862,31.841498214749652,0.5564981619966671,0.004358851044063924,0.0015528957170958106,1.8266330399891553
2025-03-09T20:08:00,547644.2385708926,150.17326373845216,31.934301433281547,0.5578239324557188,0.004369402156696866,0.0015405343869722217,1.8267445492938068
2025-03-09T20:09:00,547677.747848544,150.43574365197992,32.02636108018864,0.5591524227208033,0.004379923153943358,0.0015281100078497899,1.8268563242126123
2025-03-09T20:10:00,547711.3369147585,150.69885388606832,32.117673375454636,0.5604836083642359,0.004390412613743665,0.0015156226977672,1.8269683652774167
2025-03-09T20:11:00,547745.0059350079,150.96259250624223,32.208234547840746,0.5618174648892929,0.004400869103424834,0.0015030725836906967,1.8270806730401732
2025-03-09T20:12:00,547778.7550643092,151.22695749034375,32.29804083228921,0.5631539677630801,0.004411291179721492,0.001490459801741982,1.8271932480179647
2025-03-09T20:13:00,547812.5844621492,151.4919467302625,32.387088473324944,0.5644930923876084,0.0044216773892859496,0.0014777844971851203,1.8273060907427805
2025-03-09T20:14:00,547846.4942866747,151.75755803036623,32.47537372446031,0.5658348141122156,0.004432026268888407,0.001465046824573151,1.827419201742143
2025-03-09T20:15:00,547880.4846914068,152.02378910648903,32.56289284820081,0.5671791082395696,0.004442336345674975,0.001452246947866952,1.8275325815281414
2025-03-09T20:16:00,547914.5558314177,152.29063758628936,32.64964211773701,0.5685259500146769,0.004452606137571794,0.0014393850404856613,1.8276462306180425
2025-03-09T20:17:00,547948.7078558994,152.55810100748928,32.73561781610611,0.5698753146400035,0.00446283415349337,0.0014264612854603302,1.8277601495094955
2025-03-09T20:18:00,547982.9409183632,152.8261768190815,32.82081623874284,0.5712271772553068,0.00447301889383894,0.0014134758754399078,1.8278743387145624
2025-03-09T20:19:00,548017.2551665229,153.09486237907916,32.90523369208846,0.5725815129588376,0.004483158850674538,0.0014004290128668872,1.8279887987259609
2025-03-09T20:20:00,548051.6507494926,153.3641549552813,32.988866495586144,0.5739382967930906,0.004493252508204371,0.001387320910002453,1.8281035300410817
2025-03-09T20:21:00,548086.1278119122,153.63405172381985,33.07171098115551,0.5752975037568895,0.004503298343043657,0.001374151789060362,1.8282185331423924
2025-03-09T20:22:00,548120.6864983671,153.90454976945313,33.15376349462723,0.5766591087972506,0.004513294824663909,0.0013609218822525806,1.8283338085121774
2025-03-09T20:23:00,548155.3269519749,154.17564608490608,33.23502039606893,0.5780230868127489,0.004523240415756438,0.0013476314318808494,1.8284493566278273
2025-03-09T20:24:00,548190.0493144023,154.44733757045316,33.315478060385836,0.5793894126541401,0.004533133572628272,0.0013342806904146844,1.8285651779618897
2025-03-09T20:25:00,548224.8537272536,154.71962103383567,33.39513287821763,0.5807580611218093,0.0045429727456336,0.001320869920550949,1.8286812729867066
2025-03-09T20:26:00,548259.7403291512,154.99249318938715,33.47398125599612,0.5821290069720746,0.0045527563795436325,0.0013073993953116234,1.828797642164671
2025-03-09T20:27:00,548294.7092540505,155.26595065748185,33.55201961630396,0.5835022249204425,0.004562482913951461,0.0012938693981238637,1.8289142859426122
2025-03-09T20:28:00,548329.7606406452,155.5399899657125,33.629244400129274,0.5848776896252712,0.004572150783847543,0.0012802802228106445,1.829031204783161
2025-03-09T20:29:00,548364.8946214201,155.8146075468992,33.70565206559041,0.5862553757079363,0.0045817584199056745,0.0012666321737398493,1.8291483991282396
2025-03-09T20:30:00,548400.1113288809,156.08979973983475,33.781239089656225,0.5876352577419262,0.004591304249032265,0.0012529255658330729,1.8292658694198398
2025-03-09T20:31:00,548435.4108955312,156.36556278908478,33.85600196877815,0.5890173102536869,0.004600786694833237,0.001239160724620144,1.8293836160999457
2025-03-09T20:32:00,548470.7934493478,156.6418928440201,33.92993721872003,0.5904015077312845,0.004610204178020462,0.0012253379863309255,1.8295016395954433
2025-03-09T20:33:00,548506.2591181993,156.91878595945127,34.003041376011716,0.5917878246165227,0.004619555116967372,0.0012114576979033603,1.8296199403328528
2025-03-09T20:34:00,548541.8080300534,157.196238095481,34.07531099858814,0.5931762353056129,0.004628837928203385,0.001197520217029116,1.8297385187390318
2025-03-09T20:35:00,548577.4403081998,157.47424511664875,34.146742665636474,0.5945667141578452,0.004638051026848435,0.0011835259122334662,1.8298573752252292
